# ra	dec	mag	bv	bayer	flamsteed	constellation
# Bright Star Catalogue V/50 (Hoffleit & Warren 1991), CDS Strasbourg. J2000.
212.7104	-16.3019	4.91	+1.72			
214.5575	-81.0078	4.91	+0.25	η		Aps
228.6554	-31.5192	4.91	+0.37		1	Lup
247.1171	-70.0844	4.91	+0.55	ζ		TrA
256.3446	12.7408	4.91	+0.12		60	Her
307.4125	-2.8856	4.91	+1.15		69	Aql
311.2188	25.2706	4.91	+1.18		30	Vul
329.1629	63.6256	4.91	+1.77			
352.5083	58.5489	4.91	-0.12			
107.5571	-4.2372	4.92	+1.03		20	Mon
134.2433	-59.2294	4.92	-0.19			
198.5617	-59.1033	4.92	+0.48			
198.4292	40.1528	4.92	+1.06			
215.6542	-58.4594	4.92	+0.86			
221.2467	-35.1919	4.92	+0.01			
225.2433	-8.5189	4.92	0.00	δ	19	Lib
241.3604	-19.8019	4.92	-0.02	β²	8	Sco
283.3067	50.7083	4.92	+0.90			
298.9075	52.4389	4.92	+0.12	ψ	24	Cyg
311.7950	34.3742	4.92	+1.32			
332.5367	-32.5483	4.92	+0.48	τ	15	PsA
44.7654	35.1831	4.93	+1.23		24	Per
62.7108	-41.9936	4.93	+0.33	δ		Hor
65.1025	34.5667	4.93	+0.94		54	Per
91.2462	-16.4844	4.93	+0.24		17	Lep
99.6567	-48.2203	4.93	+0.87			
105.9737	-49.5839	4.93	+0.13			
119.9338	-3.6797	4.93	+1.21		27	Mon
132.4487	-45.3081	4.93	+0.05			
157.7583	-73.2217	4.93	+1.68			
190.4858	-59.6858	4.93	-0.04			
195.1825	56.3664	4.93	+0.36		78	UMa
226.8254	24.8692	4.93	+0.43		45	Boo
285.0038	32.1456	4.93	+1.47	λ	15	Lyr
286.6046	-37.0633	4.93	+0.52	γ		CrA
302.3567	36.8397	4.93	-0.13		28	Cyg
355.9979	29.3617	4.93	+0.95		78	Peg
10.8671	47.0247	4.94	+0.18	π	20	Cas
25.1450	40.5769	4.94	-0.09	τ	53	And
33.0929	30.3031	4.94	+0.78		6	Tri
64.3150	20.5786	4.94	+0.26	ω²	50	Tau
74.8142	37.8903	4.94	+0.04	ω	4	Aur
79.8192	22.0964	4.94	+0.93		109	Tau
113.9154	-52.5339	4.94	+1.40			
115.0967	-15.2636	4.94	+1.56			
120.8796	27.7942	4.94	+1.12	χ		Gem
138.9029	-38.5700	4.94	+1.11			
145.5600	-23.9156	4.94	+0.53			
148.7175	-19.0094	4.94	+1.57			
166.3329	-27.2936	4.94	+0.36	χ¹		Hya
175.2233	-62.0900	4.94	+1.15			
188.6833	70.0219	4.94	+1.31		6	Dra
192.9246	27.5406	4.94	+0.67		31	Com
203.5329	3.6589	4.94	+0.03		78	Vir
220.1817	16.4183	4.94	-0.03	π¹	29	Boo
221.5004	-25.4431	4.94	+0.35		54	Hya
222.7542	-2.2992	4.94	+0.98		11	Lib
231.0496	-10.3222	4.94	+0.44	ε	31	Lib
243.3696	-54.6306	4.94	+1.04	κ		Nor
243.0000	-10.0642	4.94	+0.09	ψ	15	Sco
248.5208	-44.0453	4.94	+0.05	μ		Nor
298.9654	38.4867	4.94	-0.08		22	Cyg
301.8467	-52.8808	4.94	+1.62	ξ		Tel
343.0083	43.3125	4.94	+1.56		15	Lac
351.7333	1.2556	4.94	+0.03	κ	8	Psc
1.1254	-10.5094	4.94	+1.63		3	Cet
25.4467	42.6136	4.95	+0.62			
50.3604	43.3294	4.95	+0.04		32	Per
65.0888	27.3508	4.95	+1.15	φ	52	Tau
81.1867	1.8464	4.95	-0.20	ψ¹	25	Ori
85.2108	-1.1289	4.95	-0.21			
90.4600	-10.5981	4.95	-0.12		3	Mon
93.0138	16.1306	4.95	-0.14		69	Ori
104.0667	-48.7211	4.95	+1.69			
171.9842	2.8561	4.95	+1.00	τ	84	Leo
184.0854	23.9453	4.95	+0.97		7	Com
186.6004	27.2683	4.95	+0.27		14	Com
187.5279	69.2011	4.95	+1.62		4	Dra
197.2638	-23.1181	4.95	+1.05	ψ	45	Hya
239.4475	54.7497	4.95	+0.26			
244.3762	75.7553	4.95	+0.37	η	21	UMi
275.0746	21.9614	4.95	+1.59		106	Her
294.2229	-7.0275	4.95	0.00	κ	39	Aql
297.7671	22.6100	4.95	-0.14		12	Vul
303.5692	15.1975	4.95	+0.08	ρ	67	Aql
307.5146	48.9517	4.95	-0.09	ω¹	45	Cyg
344.1083	49.7336	4.95	+1.78			
356.5088	46.4203	4.95	+1.11	ψ	20	And
18.7963	-45.5314	4.96	+0.58	ν		Phe
112.7683	82.4114	4.96	+1.66			
110.5562	-19.0167	4.96	-0.04			
185.0875	3.3125	4.96	+1.16		16	Vir
235.0704	-23.8181	4.96	+1.33		42	Lib
232.8538	77.3494	4.96	+1.58	θ	15	UMi
250.3933	-17.7422	4.96	+1.11			
270.3767	21.5956	4.96	+0.12		95	Her
277.9392	-45.9150	4.96	-0.11	δ¹		Tel
289.4087	-18.9531	4.96	+1.02		43	Sgr
298.9808	58.8461	4.96	+1.59			
55.5938	33.9650	4.97	-0.01		40	Per
60.3258	-61.0789	4.97	+1.42	ι		Ret
67.1100	16.3597	4.97	+1.13		75	Tau
88.8746	-37.1208	4.97	+1.11	ξ		Col
113.4496	-14.5239	4.97	+1.41			
118.3742	26.7658	4.97	+0.09	φ	83	Gem
136.4933	5.0922	4.97	+1.22	ω	18	Hya
142.9863	11.2997	4.97	+1.05	ξ	5	Leo
156.0329	65.5664	4.97	-0.06			
177.4858	-70.2258	4.97	+1.40			
202.4283	-23.2814	4.97	+1.60			
207.4679	-18.1342	4.97	+1.06		89	Vir
217.0433	-29.4917	4.97	-0.07		52	Hya
272.9758	31.4053	4.97	+1.65		104	Her
291.0317	29.6214	4.97	-0.10		2	Cyg
303.6333	36.8064	4.97	+0.14		29	Cyg
20.0204	58.2317	4.98	+0.68	φ	34	Cas
24.8375	44.3861	4.98	+0.89	χ	52	And
32.3554	25.9397	4.98	+0.33		14	Ari
52.0129	49.0628	4.98	-0.09			
94.4783	61.5153	4.98	+1.83		1	Lyn
109.6679	-24.5589	4.98	-0.15		29	CMa
130.0062	-12.4753	4.98	+1.42		6	Hya
202.1075	13.7789	4.98	+0.71		70	Vir
203.6992	37.1825	4.98	+0.40			
255.7825	14.0919	4.98	+1.60			
272.9308	-23.7011	4.98	+1.05		11	Sgr
275.9771	58.8006	4.98	+0.08		39	Dra
284.0608	4.2019	4.98	+0.20	θ²	63	Ser
349.7404	-9.6108	4.98	-0.02	ψ³	95	Aqr
351.2096	62.2828	4.98	+1.68		4	Cas
353.4883	31.3253	4.98	+1.38		72	Peg
25.6812	-3.6903	4.99	+1.38			
29.0000	68.6853	4.99	-0.10	ω	46	Cas
44.6992	-64.0714	4.99	+0.13	β		Hor
81.1633	37.3856	4.99	+1.42	σ	21	Aur
81.1058	17.3833	4.99	+0.53		111	Tau
88.7117	55.7069	4.99	+0.05	ξ	30	Aur
102.7183	-34.3672	4.99	+1.38			
105.7283	-4.2392	4.99	-0.20		19	Mon
111.4121	9.2761	4.99	+1.01	ε	2	CMi
115.7517	58.7103	4.99	+0.08		24	Lyn
123.3333	-15.7883	4.99	+1.07		20	Pup
127.3650	-44.7250	4.99	-0.16			
155.7421	-66.9017	4.99	-0.13			
165.1867	6.1014	4.99	+0.16		59	Leo
170.7067	43.4828	4.99	+0.99		56	UMa
191.2825	45.4403	4.99	+2.54			
239.8762	-41.7444	4.99	+1.00			
240.3608	29.8511	4.99	-0.07	ι	14	CrB
244.2538	-50.0683	4.99	+0.80	γ¹		Nor
283.7796	-22.6714	4.99	+1.33	ν²	35	Sgr
286.6046	-37.0633	4.99	+0.52	γ		CrA
288.4800	57.7050	4.99	+1.16		54	Dra
296.6067	33.7278	4.99	+0.47		17	Cyg
301.0817	-32.0564	4.99	+1.21			
332.1083	-34.0439	4.99	+1.48	υ		PsA
55.5621	-31.9383	5.00	-0.16	δ		For
59.2846	61.1089	5.00	+1.45			
76.6692	51.5978	5.00	+0.33		9	Aur
76.8625	18.6450	5.00	+0.65		104	Tau
80.7083	3.5444	5.00	-0.15		23	Ori
104.0275	-14.0436	5.00	+1.18	μ	18	CMa
108.3429	16.1589	5.00	+1.66		51	Gem
137.7683	-44.8681	5.00	+0.23			
144.3029	6.8358	5.00	+1.05		10	Leo
160.7671	69.0761	5.00	+1.38			
170.8029	-36.1647	5.00	+1.46			
184.1254	33.0614	5.00	+1.14			
184.7488	-55.1431	5.00	+1.59			
186.7471	26.8256	5.00	+0.08		16	Com
230.5346	-47.9278	5.00	+0.50	ν¹		Lup
240.8358	-25.8653	5.00	+1.22			
242.0187	17.0469	5.00	+0.95	κ	7	Her
246.9958	68.7681	5.00	-0.06		15	Dra
260.0788	18.0572	5.00	+1.62			
271.8700	43.4617	5.00	+0.91			
293.6454	19.7733	5.00	-0.09		9	Vul
297.2446	19.1422	5.00	+0.10	ζ	8	Sge
319.6133	43.9458	5.00	-0.01		68	Cyg
345.0213	56.9453	5.00	+1.42			
354.9462	-14.2217	5.00	+0.24	ω¹	102	Aqr
359.3967	-64.2983	5.00	+0.06	η		Tuc
35.7179	-73.6458	5.01	+1.09	κ		Hyi
69.7233	-12.1231	5.01	+0.07			
93.9371	-13.7183	5.01	-0.08			
92.8125	-65.5894	5.01	+1.62	η²		Dor
112.4529	27.9161	5.01	+1.11		65	Gem
118.0654	-34.7053	5.01	+0.44			
128.6817	-49.9442	5.01	+1.33			
143.3021	-21.1158	5.01	+1.02			
143.5367	-51.2553	5.01	-0.18			
205.4363	-54.5600	5.01	-0.05			
205.4033	-8.7031	5.01	+1.63		82	Vir
209.1425	27.4919	5.01	+1.42		9	Boo
213.0658	2.4094	5.01	-0.12			
285.3600	46.9347	5.01	+0.19		16	Lyr
290.1371	-5.4158	5.01	+0.92		26	Aql
313.6400	28.0575	5.01	+1.48		32	Vul
324.2375	40.4136	5.01	+0.18		74	Cyg
326.9342	-30.8983	5.01	+0.04	θ	10	PsA
335.3796	12.2053	5.01	-0.13		31	Peg
0.5829	-29.7203	5.01	-0.15	ζ		Scl
75.5408	-26.2750	5.02	+1.07			
78.8517	32.6878	5.02	+0.23		14	Aur
91.8817	-37.2531	5.02	-0.11	θ		Col
100.7708	44.5244	5.02	+1.48	ψ⁴	55	Aur
102.6912	41.7814	5.02	+1.27	ψ7	58	Aur
158.2371	-47.0033	5.02	+1.04			
186.4621	39.0186	5.02	+0.96		6	CVn
188.7825	18.3769	5.02	+1.15		24	Com
229.2746	71.8239	5.02	+1.37		11	UMi
232.7325	40.8331	5.02	+1.59	ν¹	52	Boo
232.9458	40.8994	5.02	+0.07	ν²	53	Boo
246.3967	-23.4472	5.02	+0.24	ρ	5	Oph
267.2679	50.7811	5.02	+0.02		30	Dra
281.2079	2.0600	5.02	-0.06		4	Aql
299.4875	-15.4914	5.02	+0.05		61	Sgr
318.3354	-70.1264	5.02	+1.58	ο		Pav
2.5804	46.0722	5.03	+0.40		22	And
17.0038	43.9419	5.03	+0.11		41	And
31.6412	22.6483	5.03	+0.11	κ	12	Ari
34.7375	28.6425	5.03	+0.04		10	Tri
49.0508	50.9378	5.03	+1.15			
49.7817	50.0950	5.03	-0.06		31	Per
59.3563	63.0722	5.03	-0.09			
67.2092	13.0475	5.03	+0.23		79	Tau
72.5483	-16.2172	5.03	+0.98		60	Eri
76.2417	-49.5778	5.03	+1.49	η²		Pic
80.0037	33.9581	5.03	+0.27		19	Aur
89.7679	-9.5583	5.03	+0.19		2	Mon
109.2062	-36.5928	5.03	-0.17			
110.8688	25.0506	5.03	+0.90		57	Gem
163.9350	33.5069	5.03	+1.10		46	UMa
175.8800	-62.4894	5.03	+0.80			
223.2129	-37.8033	5.03	-0.16			
238.3338	-20.1672	5.03	-0.01	λ	45	Lib
255.4696	-32.1436	5.03	-0.10			
259.6542	10.8644	5.03	+1.55			
273.4742	64.3972	5.03	+0.38		36	Dra
291.3188	-24.5086	5.03	+0.23	χ¹	47	Sgr
292.6658	-2.7889	5.03	+1.75		36	Aql
297.6571	52.9881	5.03	+1.28		20	Cyg
329.8125	73.1800	5.03	+0.44		16	Cep
339.4392	-4.2281	5.03	+1.14	κ	63	Aqr
26.5262	-53.5219	5.04	+0.04			
30.5754	54.4875	5.04	-0.08		4	Per
90.8146	-26.2844	5.04	+1.34			
94.1108	12.2722	5.04	+0.42		74	Ori
116.4871	-14.5639	5.04	+0.33		4	Pup
173.2254	-31.0872	5.04	+1.58			
181.1937	-76.5192	5.04	+1.49	κ		Cha
198.0146	-16.1986	5.04	+0.46		53	Vir
247.1604	41.8817	5.04	+1.52		30	Her
252.9387	24.6564	5.04	+1.25		51	Her
267.3625	76.9628	5.04	+0.49		35	Dra
271.7563	30.5619	5.04	+0.52		99	Her
280.6579	55.5394	5.04	-0.09		46	Dra
309.6329	24.1161	5.04	-0.14		28	Vul
312.5204	44.0594	5.04	+0.20		56	Cyg
327.4612	30.1742	5.04	-0.03		14	Peg
332.8779	59.4144	5.04	+0.25	λ	22	Cep
356.5979	3.4867	5.04	+2.60		19	Psc
356.9783	67.8069	5.04	-0.01			
69.9779	53.0797	5.05	+1.07		3	Cam
70.5146	-37.1444	5.05	+0.37	β		Cae
80.6396	79.2311	5.05	+0.47			
91.7642	-62.1547	5.05	+1.25			
92.9658	-6.5503	5.05	-0.20			
109.6329	49.4650	5.05	+0.08			
112.3350	28.1181	5.05	+0.11		64	Gem
114.8692	17.6747	5.05	+1.56		74	Gem
121.6683	-45.2664	5.05	+1.50			
129.7833	-22.6619	5.05	+0.73			
148.1267	-8.1050	5.05	+0.04	γ	8	Sex
164.8667	40.4303	5.05	+0.61		47	UMa
201.2796	-74.8878	5.05	+1.11	ι¹		Mus
262.9912	68.1350	5.05	+1.08		27	Dra
275.3863	49.1217	5.05	+1.66			
290.7129	-54.4236	5.05	+0.02	η		Tel
300.3400	50.1047	5.05	+1.11		26	Cyg
309.7825	10.0861	5.05	+0.72	κ	7	Del
312.8754	-51.6083	5.05	+1.13	ι		Ind
350.0858	5.3814	5.05	+1.20		7	Psc
7.0121	17.8931	5.06	+1.65		47	Psc
48.1933	-1.1961	5.06	+0.57		94	Cet
61.1133	59.1556	5.06	+0.50			
80.4425	-24.7731	5.06	+0.67			
92.1842	-68.8433	5.06	-0.08	ν		Dor
96.9900	-4.7622	5.06	-0.17		10	Mon
104.6046	-34.1117	5.06	-0.16			
115.7383	-45.1733	5.06	+0.78			
145.0767	-14.3322	5.06	-0.15	κ	38	Hya
202.3550	-51.1653	5.06	+0.07			
215.5946	-80.1089	5.06	-0.10	ε		Aps
229.8283	1.7653	5.06	+0.54		5	Ser
271.5079	22.2189	5.06	+1.58		98	Her
281.0850	39.6700	5.06	+0.16	ε¹	4	Lyr
295.6296	-16.1239	5.06	+0.33		55	Sgr
295.2092	45.5250	5.06	+0.40			
349.2121	-7.7267	5.06	+1.60	χ	92	Aqr
355.8433	10.3314	5.06	+1.68		77	Peg
12.2446	16.9406	5.07	+0.51		64	Psc
12.1475	-74.9233	5.07	+1.37	λ		Hyi
57.0679	11.1433	5.07	-0.13		30	Tau
67.7088	-44.9539	5.07	-0.19	δ		Cae
69.7883	15.7997	5.07	+0.15	σ¹	91	Tau
75.0862	81.1939	5.07	+1.28			
78.8513	-26.9433	5.07	-0.10			
81.9121	34.4758	5.07	+1.40	φ	24	Aur
101.9046	-8.9983	5.07	+1.80			
115.1271	87.0200	5.07	+1.63			
124.5788	-65.6133	5.07	+1.15			
142.9900	9.7158	5.07	+1.37		6	Leo
213.7375	-57.0858	5.07	-0.08			
234.8446	36.6358	5.07	-0.12	ζ²	7	CrB
241.0921	-11.3731	5.07		ξ		Sco
258.8367	-26.6014	5.07	+0.85		36	Oph
278.0083	-45.7572	5.07	-0.14	δ²		Tel
301.7225	23.6144	5.07	-0.18		17	Vul
9.0346	54.1686	5.08	-0.11			
76.5354	58.9725	5.08	-0.08		11	Cam
81.1204	-0.8914	5.08	+0.96		27	Ori
83.8454	-5.4161	5.08	-0.09	θ²	43	Ori
116.8542	-38.5111	5.08	-0.10			
123.4933	-36.3225	5.08	-0.19			
147.4879	-45.7328	5.08	-0.10			
151.5471	-47.3700	5.08	+0.88			
158.5037	-23.7453	5.08	+1.60		44	Hya
158.7000	6.9536	5.08	+0.94		48	Leo
159.0846	-59.5647	5.08	+1.18			
160.8542	23.1883	5.08	+0.04		41	LMi
165.2100	39.2122	5.08	+0.24		49	UMa
172.1463	-42.6742	5.08	-0.03			
213.1917	-27.2611	5.08	+1.16		50	Hya
249.0571	52.9244	5.08	-0.04		17	Dra
257.6762	-44.5575	5.08	+0.86			
257.3888	40.7772	5.08	+1.28			
284.3354	-20.6564	5.08	+0.13	ξ¹	36	Sgr
328.3242	-13.5517	5.08	+0.37	μ	51	Cap
328.2658	25.9250	5.08	-0.17		16	Peg
338.9421	73.6431	5.08	+0.39		31	Cep
341.0229	41.8192	5.08	+0.96		13	Lac
349.7779	-13.4589	5.08	+0.80		94	Aqr
350.7692	12.3139	5.08	+1.31		66	Peg
358.1221	19.1203	5.08	+1.60	φ	81	Peg
8.1825	-63.0311	5.09	+0.04	β³		Tuc
50.6883	20.7419	5.09	+1.24	τ²	63	Ari
52.5008	55.4519	5.09	+0.05			
57.2967	24.1367	5.09	-0.08		28	Tau
92.5600	-74.7531	5.09	+0.72	α		Men
119.3267	-44.1097	5.09	-0.17			
126.9021	-53.0886	5.09	+0.25			
147.1475	46.0211	5.09	+0.62			
157.5729	-0.6369	5.09	-0.14	β	30	Sex
170.8412	-18.7800	5.09	+0.42	λ	13	Crt
201.5325	-39.7553	5.09	+1.20			
229.2363	-60.9575	5.09	-0.06	δ		Cir
238.8733	-68.6031	5.09	+1.13	κ		TrA
286.7442	11.0714	5.09	-0.07		18	Aql
326.2512	-9.0825	5.09	+1.11		46	Cap
29.3379	17.8175	5.10	+0.92	ι	8	Ari
55.5388	63.2167	5.10	+1.63			
62.5117	80.6986	5.10	+0.56			
72.8437	18.8397	5.10	+0.21		97	Tau
98.4079	-1.2203	5.10	-0.14			
108.3850	-44.6397	5.10	+1.56			
110.4867	20.4436	5.10	+1.52		56	Gem
111.5913	-51.0183	5.10	+1.06			
132.6396	-46.5292	5.10	-0.21			
163.3937	54.5850	5.10	+1.36		44	UMa
184.0008	14.8989	5.10	+0.06		6	Com
199.2212	-31.5061	5.10	+0.96			
216.0471	5.8200	5.10	+0.12			
272.2204	20.0453	5.10	+0.15		101	Her
275.5775	-38.6569	5.10	+1.49			
283.6796	-15.6031	5.10	+0.17			
289.6354	1.0853	5.10	+1.15		23	Aql
301.2896	19.9911	5.10	+1.06	η	16	Sge
310.0125	-18.1386	5.10	+1.66	υ	15	Cap
324.8888	2.2436	5.10	+1.04		25	Aqr
335.0062	-80.4397	5.10	+1.47	ε		Oct
334.1108	-41.6275	5.10	+0.92	μ²		Gru
345.6513	42.7578	5.10	+0.09		2	And
0.4558	-3.0275	5.10	-0.12		29	Psc
28.5917	-42.4969	5.11	-0.06	φ		Phe
44.3221	31.9342	5.11	-0.01		21	Per
45.9033	-59.7378	5.11	+0.34	μ		Hor
57.3858	33.0914	5.11	+0.07		42	Per
58.4121	-34.7322	5.11	-0.13			
68.5483	-8.2314	5.11	+1.70		47	Eri
87.4733	-66.9011	5.11	-0.14	ε		Dor
109.6592	-36.7428	5.11	-0.16			
119.7738	-23.3106	5.11	+1.12		12	Pup
141.5754	-53.3792	5.11	-0.11			
143.4717	-80.9414	5.11	-0.14	ζ		Cha
170.8408	-64.9550	5.11	-0.08			
177.1879	-26.7497	5.11	+1.60			
224.1833	-62.7808	5.11	0.00	θ		Cir
233.8125	39.0100	5.11	+1.64	μ	6	CrB
237.8150	-3.0906	5.11	+0.12		36	Ser
258.8375	-26.6028	5.11	+0.86		36	Oph
292.6887	27.9653	5.11	-0.10	β²	6	Cyg
297.7567	10.4156	5.11	+0.55	ο	54	Aql
308.4796	-44.5161	5.11	+1.01	ν		Mic
312.1217	-43.9886	5.11	+0.35	ι		Mic
325.0462	43.2739	5.11	+1.60		75	Cyg
331.2871	62.2800	5.11	+0.08		19	Cep
345.8742	-34.7494	5.11	+0.29	π		PsA
358.0267	-82.0189	5.11	+0.92	γ¹		Oct
3.6150	-7.7806	5.12	+1.62			
5.4429	-20.0578	5.12	+1.82			
22.4004	-21.6294	5.12	+0.02		48	Cet
65.9663	9.4608	5.12	+0.07		66	Tau
76.6904	-4.6550	5.12	-0.06		66	Eri
77.1817	-4.4561	5.12	+0.44		68	Eri
103.4258	68.8883	5.12	-0.13		43	Cam
121.2688	13.1181	5.12	+0.01		8	Cnc
139.0962	-44.2658	5.12	+1.67			
143.4354	-49.0050	5.12	-0.12			
160.4858	65.7164	5.12	+1.20		38	UMa
191.6612	16.5775	5.12	+1.35		27	Com
215.8446	8.4467	5.12	-0.02			
221.2467	27.0750	5.12		ε	36	Boo
239.2229	-33.9664	5.12	+0.12	ξ¹		Lup
240.3096	17.8183	5.12	+0.99		5	Her
260.2258	24.4994	5.12	-0.03		70	Her
261.0542	-44.1625	5.12	-0.06			
267.2050	25.6228	5.12	+1.16		87	Her
275.2542	28.8700	5.12	+0.20		107	Her
276.0575	39.5072	5.12	+0.03	μ	2	Lyr
287.9187	56.8592	5.12	+1.01		53	Dra
293.7804	-10.5603	5.12	+1.13		37	Aql
297.6417	38.7225	5.12	+1.69		19	Cyg
310.0108	-60.5489	5.12	+0.53	φ²		Pav
347.3812	8.6772	5.12	+1.47		57	Peg
9.1942	44.4886	5.13	+1.60			
18.6000	-7.9231	5.13	+0.46		37	Cet
83.8187	-5.3897	5.13	+0.02	θ¹	41	Ori
105.9083	10.9517	5.13	+1.39			
110.5108	36.7606	5.13	+1.08		65	Aur
114.3196	-4.1111	5.13	+0.44		25	Mon
123.4008	-46.9919	5.13	-0.14			
126.4783	7.5644	5.13	+0.94			
138.5858	61.4233	5.13	+0.58		16	UMa
167.1417	-61.9472	5.13	+0.22			
172.9421	-59.4422	5.13	+1.08	ο¹		Cen
188.9396	-41.0219	5.13	+0.22			
228.6596	67.3467	5.13	+0.53			
242.7583	-29.4164	5.13	+1.12			
251.6667	-67.1097	5.13	-0.08			
280.9454	-38.3236	5.13	+0.09	λ		CrA
287.2908	76.5606	5.13	+0.31		59	Dra
300.4362	-59.3761	5.13	+1.53			
335.3983	-21.5983	5.13	+1.07		47	Aqr
359.7325	-52.7458	5.13	+1.13	π		Phe
30.4267	-44.7136	5.14	+1.49	χ		Phe
37.0071	-33.8111	5.14	+0.10	φ		For
52.6021	11.3364	5.14	-0.03		4	Tau
81.5804	-58.9125	5.14	+1.00	λ		Dor
90.8638	19.6906	5.14	-0.11		64	Ori
94.4237	-16.8158	5.14	+1.30			
102.7379	67.5719	5.14	-0.17		42	Cam
102.4775	-46.6147	5.14	+0.45			
105.2146	-51.4025	5.14	+1.61			
107.6979	-48.9322	5.14	+1.24			
116.8762	33.4156	5.14	+1.60	π	80	Gem
117.9250	1.7669	5.14	-0.12	ζ	13	CMi
125.0163	27.2178	5.14	+0.47	χ	18	Cnc
137.0983	66.8733	5.14	+1.51	σ¹	11	UMa
137.3396	22.0456	5.14	+0.97	ξ	77	Cnc
149.4212	41.0556	5.14	+0.46		19	LMi
183.0496	77.6164	5.14	+0.33			
185.2321	-13.5656	5.14	+1.05			
214.8854	-2.2656	5.14	+1.02	υ	102	Vir
243.8137	-47.3722	5.14	-0.13	θ		Nor
277.8596	-18.4028	5.14	0.00			
278.7600	-10.9772	5.14	+0.92			
281.0954	39.6131	5.14	+0.19	ε²	5	Lyr
284.6517	-60.2006	5.14	+1.37	ω		Pav
298.3225	57.5236	5.14	-0.13		23	Cyg
311.6612	16.1244	5.14	+0.49	γ¹	12	Del
331.5083	45.0144	5.14	+1.57			
38.0258	36.1472	5.15	+1.47		14	Tri
49.6575	50.2222	5.15	-0.06		29	Per
97.8458	-12.3917	5.15	+1.27			
132.9867	43.7267	5.15	+0.98		35	Lyn
166.8192	-42.6386	5.15	+0.03			
172.9533	-59.5158	5.15	+0.49	ο²		Cen
174.2525	-61.2833	5.15	+1.12			
174.5304	-61.8264	5.15	-0.02			
180.9150	-42.4342	5.15	+0.41			
185.5304	-67.5219	5.15	+0.19	ζ²		Mus
199.5604	49.6819	5.15	-0.07		21	CVn
206.7350	-36.2519	5.15	-0.02			
208.6754	-1.5031	5.15	+1.08		90	Vir
209.6296	-24.9722	5.15	-0.10		47	Hya
222.6717	-15.9972	5.15	+0.41	α¹	8	Lib
226.3296	-41.0672	5.15	+1.01			
233.6554	-28.0469	5.15	+1.30		36	Lib
251.4579	8.5825	5.15	+1.53		43	Her
266.0362	-51.8342	5.15	+0.70	μ		Ara
288.4279	2.2936	5.15	-0.07		21	Aql
291.5379	36.3178	5.15	-0.12		4	Cyg
303.8758	23.5086	5.15	+1.04		22	Vul
310.4879	-66.7608	5.15	-0.06	υ		Pav
316.1792	-77.0239	5.15	+0.49	α		Oct
17.7783	31.4247	5.16	+0.23		82	Psc
19.4500	3.6144	5.16	+0.07		89	Psc
39.5083	72.8183	5.16	+0.88			
123.8162	-62.9158	5.16	+0.09			
130.9179	-49.8228	5.16	-0.20			
134.8504	-59.0836	5.16	+0.42			
153.3775	-66.3731	5.16	+0.21			
158.7904	57.0828	5.16	+0.34		37	UMa
194.2683	-51.1986	5.16	-0.06			
229.0167	-41.4911	5.16	+0.58			
268.3254	40.0081	5.16	+1.18		90	Her
269.7717	-30.2531	5.16	+1.77			
278.0892	-39.7039	5.16	+0.08			
286.5829	-52.3408	5.16	+0.53	ρ		Tel
291.2425	11.9444	5.16	+0.77		31	Aql
291.3692	19.7986	5.16	+0.98		4	Vul
309.8537	0.4864	5.16	+1.06		1	Aqr
316.3092	-54.7272	5.16	+1.21	μ		Ind
320.7233	6.8111	5.16	+0.05	β	10	Equ
343.1004	9.8356	5.16	+0.48	σ	49	Peg
347.9342	8.7200	5.16	+0.13		59	Peg
7.0571	44.3944	5.17	+0.03			
17.0683	54.9203	5.17	+0.69	μ	30	Cas
35.5892	55.8456	5.17	+0.37		9	Per
44.1558	-3.7122	5.17	+0.08			
65.9200	-3.7456	5.17	+0.08	ξ	42	Eri
86.4996	-32.3064	5.17	-0.28	μ		Col
87.7217	-52.1089	5.17	+0.99			
104.9604	-67.9161	5.17	+1.40			
106.0763	-56.7497	5.17	-0.04			
115.9246	-40.9339	5.17	+1.10			
117.9429	-13.8981	5.17	+0.60		9	Pup
119.4658	-45.5778	5.17	+1.27			
119.9067	-60.5869	5.17	+1.74			
126.3792	-51.7281	5.17	-0.16			
145.7383	72.2525	5.17	+1.04		27	UMa
171.4300	-63.9728	5.17	+0.50			
174.8725	-65.3978	5.17	+0.80			
193.6533	-57.1683	5.17	-0.12	μ²		Cru
226.2008	-64.0317	5.17	+0.93	η		Cir
231.4475	15.4281	5.17	+1.66	τ¹	9	Ser
232.1592	1.8422	5.17	+0.23		10	Ser
233.6108	-9.1833	5.17	-0.09			
283.1650	-52.1075	5.17	+0.94	κ		Tel
294.1579	44.6950	5.17	+0.93			
294.7983	5.3978	5.17	+0.03	σ	44	Aql
304.6629	34.9828	5.17	+0.65		35	Cyg
313.9029	13.7214	5.17	+1.12		17	Del
325.7667	72.3203	5.17	+1.05			
5.2804	37.9686	5.18	+0.42	ρ	27	And
5.3800	-28.9817	5.18	+1.00	ι		Scl
25.7329	70.6225	5.18	-0.04		42	Cas
41.2400	12.4458	5.18	+0.24		38	Ari
77.9233	16.0456	5.18	+1.49			
84.9342	25.8969	5.18	-0.15		125	Tau
105.6033	24.2153	5.18	+0.94	ω	42	Gem
116.6637	37.5175	5.18	+1.58			
117.4217	-17.2283	5.18	+1.28		6	Pup
134.7179	-47.2347	5.18	+0.25			
160.8871	46.2039	5.18	+0.33			
