# ms	ra_deg	dec_deg
1790128800000	124.349241	-24.462795
1790128800000	282.857295	-30.554239
1790128800000	177.694722	-71.000400
1790128800000	231.571139	2.151009
1790128800000	289.607828	1.811664
1790128800000	20.283791	18.412444
1790128800000	246.716964	-61.277819
1790128800000	118.755295	-33.336582
1790128800000	286.896132	47.561736
1790128800000	122.426105	27.114128
1790128800000	68.515140	14.773124
1790128800000	319.587517	2.778287
1790128800000	203.360890	-9.558753
1790128800000	53.865655	-28.777633
1790128800000	39.356507	65.003369
1790128800000	182.812734	34.653244
1790128800000	277.769193	60.606355
1790128800000	20.746653	-27.032110
1790128800000	270.529757	-40.732135
1790128800000	162.167759	1.211703
1790128800000	161.259222	-58.185556
1790128800000	67.695319	12.817317
1790128800000	90.499526	-31.203496
1790128800000	231.705529	-43.215641
1790128800000	89.552631	-59.980202
1790128800000	194.930451	3.929504
1790128800000	90.196336	42.068376
1790128800000	202.889836	2.123425
1790128800000	204.739746	-34.833908
1790128800000	5.321926	17.387071
1790128800000	296.447309	-61.709568
1790128800000	242.412953	45.503551
1790128800000	152.643761	58.805958
1790128800000	155.182035	6.750563
1790128800000	285.927598	2.029795
1790128800000	257.532311	-58.347120
1790128800000	5.024430	63.057842
1790128800000	103.226284	-4.213257
1790128800000	129.599558	-61.111928
1790128800000	323.993305	-4.546111
1790128800000	272.307256	65.294853
1790128800000	170.847124	-18.151840
1790128800000	14.808720	-17.492761
1790128800000	41.981413	16.830652
1790128800000	247.567845	-18.187306
1790128800000	36.629191	51.733228
1790128800000	263.080569	32.891760
1790128800000	245.799009	-69.080696
1790128800000	210.197580	-71.081532
1790128800000	299.504803	64.051805
1790128800000	198.571204	46.411199
1790128800000	222.364238	-8.294940
1790128800000	221.515290	9.697214
1790128800000	167.075724	1.326143
1790128800000	81.692966	41.023163
1790128800000	24.742138	58.934647
1790128800000	199.701695	-1.087379
1790128800000	335.709731	-23.970035
1790128800000	33.979564	-50.291666
1790128800000	145.792257	39.115512
1790128800000	24.696587	-33.012116
1790128800000	259.528168	16.210105
1790128800000	347.699339	-34.433380
1790128800000	150.789238	10.722525
1790128800000	137.541476	57.695868
1790128800000	44.654226	-55.815083
1790128800000	9.966879	40.440126
1790128800000	155.233720	-19.238333
1790128800000	3.811474	78.636023
1790128800000	83.214355	-54.606658
1790128800000	110.341211	-27.847135
1790128800000	37.954965	-18.228061
1790128800000	177.699722	-24.345026
